"id";"bookName";"author";"publication";"language";"location";"numberOfCopies";"createdDateTime";"lastUpdatedDateTime"
"1f9ccc1d-f78d-4f8d-bf5d-eedc68dd6bde";"Mokshmala Praveshika";"Brahmachari Shri Govardhandas Ji";"Shrimad Rajchandra Mumukshu (Anuyayi) Mandal";"Gujarati";"Rack 1 - Isle 4";1;"2021-09-04 18:28:11";"2021-09-04 18:28:11"
"235b0428-daa1-42bc-8dcc-b235a1486632";"Mokshmala";"Shrimad Rajchandra Ravjibhai";"Shrimad Rajchandra Aashram Agas";"Gujarati";"Rack 1 - Isle 4";6;"2021-09-04 18:33:11";"2021-09-04 18:33:11"
"236c646a-e531-4568-91f1-eb13f21d6339";"Shri Sadguru Upasna";"Shrimad Rajchandra Gyanmandir Trust";"Shrimad Rajchandra Gyanmandir Trust";"Gujarati";"";1;"2021-08-21 16:00:56";"2021-08-21 16:00:56"
"270b62d1-1f38-46d6-a520-e97d8265aa9e";"Shri Kevadi Prabhu no saath - Volume 5";"Saryu Rajni Mehta";"Shreyas Pracharak Sabha ";"Gujarati";"Rack 1 - Isle 5";1;"2021-08-15 17:19:59";"2021-08-15 17:19:59"
"29a7f7f8-8434-4fd7-a83a-4fc021793e48";"Padmalay - parag";"Shri Sanjaykumar Jayantilal Sanghvi";"Sanghvi Charitable Trust";"Gujarati";"";1;"2021-08-21 16:35:39";"2021-08-21 16:35:39"
"29f96807-eb03-40c6-ac63-c39a53e0c082";"Samkitna Sadsath Bolni Sajhay";"Dhirajlal Dahyalal Mehta";"Jain Dharma Prasaran Trust";"Gujarati";"Rack 1 - Isle 1";7;"2021-08-21 17:50:06";"2021-08-21 17:50:06"
"29facd50-f82e-419e-9be5-f160b1f5c139";"Pravachan Ratnakar - Volume 6";"Param Pujya Kanjiswami na pravachan";"Shri Digambar Jain Swadhyay Mandir Trust";"Gujarati";"";1;"2021-08-15 17:38:59";"2021-08-15 17:38:59"
"2aaf13e1-4a39-4852-a7de-81543756552f";"Tirthyatra";"";"";"Gujarati";"";1;"2021-08-21 15:57:13";"2021-08-21 15:57:13"
"2cdf4f69-ca84-43bc-9d90-644a8081f249";"Sadhak-Sadhna";"Shri Rasiklal";"Shri Raj Sobhag Satsang Mandad";"Gujarati";"";1;"2021-08-21 17:36:43";"2021-08-21 17:36:43"
"2dafe04f-ebcb-4b04-b3d6-7f32fb9add1d";"Mokshmala Praveshika";"Brahmachari Shri Govardhandas Ji";"Manubhai B. Modi";"Gujarati";"Rack 1 - Isle 4";1;"2021-09-04 18:27:27";"2021-09-04 18:27:27"
